city,customer_id,email,first_name,last_name,phone,state,street,zip_code
Amityville,75,abby.gamble@aol.com,Abby,Gamble,None,NY,60 Myers Dr.,11701
Port Jefferson Station,76,parker.prince@hotmail.com,Parker,Prince,None,NY,21 Sulphur Springs Drive,11776
Richardson,77,keri.bridges@gmail.com,Keri,Bridges,None,TX,8504 Brickell Ave.,75080
Palos Verdes Peninsula,78,chi.goff@aol.com,Chi,Goff,None,CA,3 W. Glen Ridge Avenue,90274
Baldwin,79,ashanti.parks@hotmail.com,Ashanti,Parks,None,NY,846 N. Helen St.,11510
Buffalo,80,sarai.mckee@msn.com,Sarai,Mckee,(716) 912-8110,NY,641 Glenwood Avenue,14215
San Lorenzo,81,zina.bonner@hotmail.com,Zina,Bonner,None,CA,9312 8th Street,94580
Coachella,82,lizzie.joyner@msn.com,Lizzie,Joyner,None,CA,8541 Roberts St.,92236
Scarsdale,83,tiesha.daniel@yahoo.com,Tiesha,Daniel,None,NY,6 West Bohemia Lane,10583
Lindenhurst,84,armand.whitehead@hotmail.com,Armand,Whitehead,None,NY,639 Harvey St.,11757
Huntington Station,85,teofila.fischer@aol.com,Teofila,Fischer,None,NY,1 West Brickyard St.,11746
Oswego,86,lissa.vargas@yahoo.com,Lissa,Vargas,None,NY,517 Victoria Ave.,13126
Duarte,87,yan.mcgowan@msn.com,Yan,Mcgowan,None,CA,8960 Newport Ave.,91010
Hollis,88,titus.bullock@gmail.com,Titus,Bullock,None,NY,29 Oxford Avenue,11423
Upland,89,arvilla.osborn@gmail.com,Arvilla,Osborn,None,CA,60 Acacia Lane,91784
Franklin Square,90,marjorie.logan@msn.com,Marjorie,Logan,None,NY,95 Grandrose St.,11010
San Diego,91,marvin.mullins@aol.com,Marvin,Mullins,(619) 635-2027,CA,7489 Redwood Drive,92111
Farmingdale,92,tena.cruz@yahoo.com,Tena,Cruz,None,NY,1 South St.,11735
Troy,93,corrina.sawyer@yahoo.com,Corrina,Sawyer,(248) 370-1364,NY,95 Briarwood Lane,12180
Baldwinsville,94,sharyn.hopkins@hotmail.com,Sharyn,Hopkins,None,NY,4 South Temple Ave.,13027
Saratoga Springs,95,letitia.franco@aol.com,Letitia,Franco,None,NY,607 Lakeview Drive,12866
Bayside,96,floretta.higgins@hotmail.com,Floretta,Higgins,None,NY,870 Lilac Dr.,11361
Yuba City,97,louanne.martin@hotmail.com,Louanne,Martin,None,CA,1 Campfire Ave.,95993
Plattsburgh,98,violet.valenzuela@msn.com,Violet,Valenzuela,None,NY,8668 Piper Street,12901
Monroe,99,carie.kidd@yahoo.com,Carie,Kidd,None,NY,6 East Clinton Street,10950
Commack,100,kellie.franco@yahoo.com,Kellie,Franco,None,NY,444 South Walnut Rd.,11725
Scarsdale,101,nichelle.howell@aol.com,Nichelle,Howell,None,NY,7670 Forest St.,10583
Canandaigua,102,marisol.goodman@gmail.com,Marisol,Goodman,None,NY,864 East Cherry St.,14424
Syosset,103,sylvie.wilkerson@yahoo.com,Sylvie,Wilkerson,None,NY,750 Central Ave.,11791
Campbell,104,katharina.bates@gmail.com,Katharina,Bates,None,CA,54 South Greenview Drive,95008
Woodhaven,105,marget.hodge@msn.com,Marget,Hodge,None,NY,7199 Selby Lane,11421
Elmhurst,106,raul.melendez@hotmail.com,Raul,Melendez,None,NY,9772 Manhattan St.,11373
Central Islip,107,cecil.hopper@yahoo.com,Cecil,Hopper,None,NY,471 Glenlake Ave.,11722
Floral Park,108,shae.hickman@hotmail.com,Shae,Hickman,None,NY,740 Pin Oak Street,11001
San Jose,109,monica.sears@aol.com,Monica,Sears,(408) 704-8863,CA,57 Glenholme St.,95127
Anaheim,110,ollie.zimmerman@yahoo.com,Ollie,Zimmerman,(657) 648-2863,CA,69 Wood Rd.,92806
Orchard Park,111,shila.white@msn.com,Shila,White,None,NY,94 Lakeshore Street,14127
West Hempstead,112,yuk.vega@yahoo.com,Yuk,Vega,None,NY,413 Wood St.,11552
Farmingdale,113,eliana.silva@gmail.com,Eliana,Silva,None,NY,7119 Summer Rd.,11735
Amityville,114,thalia.horne@yahoo.com,Thalia,Horne,None,NY,9312 Harvard Street,11701
Monroe,115,rey.lindsay@gmail.com,Rey,Lindsay,None,NY,16 Philmont St.,10950
Euless,116,merlene.vinson@gmail.com,Merlene,Vinson,None,TX,431 Vine Dr.,76039
Sugar Land,117,dacia.william@msn.com,Dacia,William,None,TX,62 Cypress Drive,77478
Pittsford,118,le.wood@yahoo.com,Le,Wood,None,NY,90 Primrose Dr.,14534
San Angelo,119,thalia.dillard@yahoo.com,Thalia,Dillard,None,TX,987 NE. Gates Street,76901
Fresno,120,luz.house@gmail.com,Luz,House,(559) 114-2580,CA,491 Railroad Street,93706
Palos Verdes Peninsula,121,lucy.woods@gmail.com,Lucy,Woods,None,CA,8437 West Rockaway St.,90274
Howard Beach,122,shena.carter@yahoo.com,Shena,Carter,None,NY,72 University Road,11414
Corpus Christi,123,robena.hill@hotmail.com,Robena,Hill,(361) 598-4414,TX,263 Cross St.,78418
South El Monte,124,jeni.booker@gmail.com,Jeni,Booker,None,CA,546 Railroad Dr.,91733
Canandaigua,125,herlinda.stone@msn.com,Herlinda,Stone,None,NY,725 Gulf St.,14424
Newburgh,126,lavina.dejesus@msn.com,Lavina,Dejesus,None,NY,59 E. Valley Avenue,12550
Maspeth,127,erlinda.nielsen@aol.com,Erlinda,Nielsen,None,NY,728 Oxford Lane,11378
Plattsburgh,128,terrance.lynn@yahoo.com,Terrance,Lynn,None,NY,91 East Buckingham Drive,12901
Lockport,129,walton.dejesus@yahoo.com,Walton,Dejesus,None,NY,15 Washington Rd.,14094
Troy,130,wes.stanton@msn.com,Wes,Stanton,(248) 247-5074,NY,8662 Tunnel Street,12180
Syosset,131,tanesha.hampton@hotmail.com,Tanesha,Hampton,None,NY,19 Belmont Ave.,11791
Hamburg,132,boyd.irwin@hotmail.com,Boyd,Irwin,None,NY,221 Whitemarsh St.,14075
Coram,133,delbert.wilkins@aol.com,Delbert,Wilkins,None,NY,420 Greenview St.,11727
Hempstead,134,brianna.moss@msn.com,Brianna,Moss,(516) 156-8031,NY,4 Longfellow St.,11550
Houston,135,dorthey.jackson@msn.com,Dorthey,Jackson,(281) 926-8010,TX,9768 Brookside St.,77016
Forney,136,sarita.parks@msn.com,Sarita,Parks,None,TX,7809 Second Lane,75126
Massapequa,137,shonta.mercer@aol.com,Shonta,Mercer,None,NY,319 NE. La Sierra Avenue,11758
Anaheim,138,jone.bernard@hotmail.com,Jone,Bernard,(657) 536-5165,CA,99 Longbranch Court,92806
Spring Valley,139,wanita.davenport@aol.com,Wanita,Davenport,None,NY,525 Dogwood Ave.,10977
East Elmhurst,140,cleopatra.tate@aol.com,Cleopatra,Tate,None,NY,97 N. Glenwood St.,11369
Saint Albans,141,ramiro.byers@gmail.com,Ramiro,Byers,None,NY,16 Pleasant St.,11412
West Hempstead,142,nicholas.vazquez@hotmail.com,Nicholas,Vazquez,None,NY,9 Roosevelt Street,11552
Jackson Heights,143,janae.doyle@gmail.com,Janae,Doyle,None,NY,760 Rose Ave.,11372
Port Chester,144,hans.price@hotmail.com,Hans,Price,None,NY,51 Glendale Road,10573
Staten Island,145,miquel.neal@hotmail.com,Miquel,Neal,None,NY,9564 Deerfield Lane,10301
Saratoga Springs,146,stefany.potter@gmail.com,Stefany,Potter,None,NY,256 South Academy St.,12866
Smithtown,147,bernetta.marquez@hotmail.com,Bernetta,Marquez,None,NY,626 E. Dunbar Street,11787
Richmond Hill,148,julee.woodard@yahoo.com,Julee,Woodard,None,NY,869 Summerhouse Dr.,11418
Spring Valley,149,meredith.bryan@hotmail.com,Meredith,Bryan,None,NY,8935 E. Oxford St.,10977
Huntington,150,weldon.michael@hotmail.com,Weldon,Michael,None,NY,9952 Nut Swamp St.,11743
Atwater,151,joesph.delacruz@aol.com,Joesph,Delacruz,None,CA,184 Cypress Street,95301
Plainview,152,katherina.odom@yahoo.com,Katherina,Odom,None,NY,897 N. Oak Drive,11803
San Angelo,153,laraine.robbins@yahoo.com,Laraine,Robbins,None,TX,8214 E. Pin Oak Lane,76901
Helotes,154,jenise.preston@yahoo.com,Jenise,Preston,None,TX,9 Littleton Drive,78023
Bay Shore,155,lory.page@hotmail.com,Lory,Page,None,NY,58 Summerhouse Street,11706
West Islip,156,charlyn.cantrell@yahoo.com,Charlyn,Cantrell,None,NY,8756 Euclid St.,11795
Banning,157,carola.rodriquez@hotmail.com,Carola,Rodriquez,None,CA,9433 Heritage Lane,92220
Spring Valley,158,alane.kennedy@yahoo.com,Alane,Kennedy,None,NY,34 Green Lake Street,10977
Garland,159,regina.burns@aol.com,Regina,Burns,None,TX,713 Buckingham St.,75043
Rowlett,160,omer.estrada@gmail.com,Omer,Estrada,None,TX,9 Honey Creek Street,75088
Smithtown,161,crystle.gilliam@yahoo.com,Crystle,Gilliam,None,NY,86 Edgewater Road,11787
Newburgh,162,kam.wilder@hotmail.com,Kam,Wilder,None,NY,500 West Clay Ave.,12550
Rome,163,margert.stevens@aol.com,Margert,Stevens,None,NY,502 North Poplar St.,13440
Woodside,164,tomika.larson@yahoo.com,Tomika,Larson,None,NY,254 Canal St.,11377
San Jose,165,jeromy.burch@msn.com,Jeromy,Burch,(408) 955-8238,CA,889 Mulberry Street,95127
Woodhaven,166,lena.mills@yahoo.com,Lena,Mills,None,NY,42 Homestead St.,11421
Spring Valley,167,loreta.johnston@yahoo.com,Loreta,Johnston,None,NY,39 Lafayette Dr.,10977
South Ozone Park,168,nettie.mcdaniel@hotmail.com,Nettie,Mcdaniel,None,NY,7004 E. Wakehurst St.,11420
Palos Verdes Peninsula,169,karla.kirk@yahoo.com,Karla,Kirk,None,CA,9718 Harvard Rd.,90274
Oxnard,170,regine.gonzales@gmail.com,Regine,Gonzales,(805) 763-4045,CA,798 Court Drive,93035
Uniondale,171,miriam.baker@hotmail.com,Miriam,Baker,None,NY,90 Studebaker St.,11553
Santa Clara,172,jeanie.kirkland@aol.com,Jeanie,Kirkland,None,CA,7643 Old Theatre St.,95050
Garland,173,marquerite.dawson@gmail.com,Marquerite,Dawson,None,TX,37 Hamilton Court,75043
Scarsdale,174,babara.ochoa@aol.com,Babara,Ochoa,None,NY,872 Smith Store St.,10583
Duarte,175,nova.hess@msn.com,Nova,Hess,None,CA,773 South Lafayette St.,91010
South El Monte,176,carley.reynolds@gmail.com,Carley,Reynolds,None,CA,2 Snake Hill Drive,91733
Maspeth,177,carissa.foreman@msn.com,Carissa,Foreman,None,NY,69C N. Ridge Rd.,11378
New York,178,genoveva.tyler@gmail.com,Genoveva,Tyler,(212) 152-6381,NY,8121 Windfall Ave.,10002
Pittsford,179,deane.sears@hotmail.com,Deane,Sears,None,NY,3 Bradford Court,14534
Farmingdale,180,karey.steele@gmail.com,Karey,Steele,None,NY,8879 Kent Lane,11735
Redondo Beach,181,olevia.pitts@gmail.com,Olevia,Pitts,None,CA,39 Fieldstone Drive,90278
Bay Shore,182,jenniffer.bullock@msn.com,Jenniffer,Bullock,None,NY,38 Oxford Avenue,11706
Floral Park,183,jeniffer.ratliff@gmail.com,Jeniffer,Ratliff,None,NY,510 Rocky River Court,11001
Webster,184,klara.stanley@aol.com,Klara,Stanley,None,NY,603 Mechanic St.,14580
San Angelo,185,morton.lee@yahoo.com,Morton,Lee,None,TX,313 Ridge St.,76901
Monsey,186,ken.charles@msn.com,Ken,Charles,None,NY,9124 W. Piper Lane,10952
Apple Valley,187,hedwig.paul@msn.com,Hedwig,Paul,None,CA,422 Manor Ave.,92307
Oxnard,188,sharla.flynn@hotmail.com,Sharla,Flynn,(805) 478-7724,CA,7 Brown Drive,93035
Liverpool,189,damian.dawson@hotmail.com,Damian,Dawson,None,NY,528 St Margarets Street,13090
Long Beach,190,toya.pratt@yahoo.com,Toya,Pratt,(562) 218-6405,NY,485 San Pablo Drive,11561
Oxnard,191,graciela.barber@hotmail.com,Graciela,Barber,(805) 656-6987,CA,1 E. Young St.,93035
Torrance,192,bong.hebert@gmail.com,Bong,Hebert,None,CA,545 Brook St.,90505
Hicksville,193,ayanna.rhodes@msn.com,Ayanna,Rhodes,None,NY,7425 Pheasant St.,11801
Santa Cruz,194,dorine.roberson@msn.com,Dorine,Roberson,None,CA,396 Meadowbrook Lane,95060
Franklin Square,195,addie.hahn@hotmail.com,Addie,Hahn,None,NY,8165 Baker Ave.,11010
North Tonawanda,196,edythe.valencia@yahoo.com,Edythe,Valencia,None,NY,9346 Wall St.,14120
Rego Park,197,andy.o'neill@msn.com,Andy,O'neill,None,NY,9544 Mulberry Drive,11374
Amarillo,198,luis.tyler@gmail.com,Luis,Tyler,None,TX,9568 Campfire Circle,79106
New Windsor,199,clelia.workman@yahoo.com,Clelia,Workman,None,NY,620 North Somerset St.,12553
Farmingdale,200,ashely.holmes@aol.com,Ashely,Holmes,None,NY,45 High Ridge Ave.,11735
Ballston Spa,201,candis.harding@gmail.com,Candis,Harding,None,NY,33 NW. Cambridge Ave.,12020
Lancaster,202,marni.bolton@msn.com,Marni,Bolton,(717) 670-6268,NY,7469 Plymouth Ave.,14086
Houston,203,minerva.decker@yahoo.com,Minerva,Decker,(281) 271-6390,TX,794 Greenrose Street,77016
Rockville Centre,204,alpha.king@hotmail.com,Alpha,King,None,NY,14 Henry Smith St.,11570
Jamaica,205,harris.pittman@yahoo.com,Harris,Pittman,None,NY,404 Cherry Hill Road,11432
Brooklyn,206,stephaine.riddle@hotmail.com,Stephaine,Riddle,None,NY,199 Vermont Court,11201
Forney,207,michel.blankenship@msn.com,Michel,Blankenship,None,TX,382 West Hill Dr.,75126
Ridgecrest,208,denis.logan@msn.com,Denis,Logan,None,CA,121 Rockcrest Street,93555
Selden,209,jutta.everett@gmail.com,Jutta,Everett,None,NY,27 Taylor Ave.,11784
Albany,210,priscilla.wilkins@aol.com,Priscilla,Wilkins,(229) 322-2269,NY,653 Pawnee Rd.,12203
Scarsdale,211,gilma.dejesus@yahoo.com,Gilma,Dejesus,None,NY,777 Thompson Ave.,10583
Troy,212,buford.bridges@msn.com,Buford,Bridges,(248) 604-7346,NY,239 Oak Valley Court,12180
Hamburg,213,elenore.hensley@hotmail.com,Elenore,Hensley,None,NY,7037 Aspen St.,14075
North Tonawanda,214,ross.pugh@msn.com,Ross,Pugh,None,NY,8598 Saxon St.,14120
Whitestone,215,judith.finley@hotmail.com,Judith,Finley,None,NY,474 West Bank Road,11357
Bethpage,216,wai.soto@msn.com,Wai,Soto,None,NY,30 Arch Drive,11714
Fresno,217,carline.collier@msn.com,Carline,Collier,(559) 810-6070,CA,28 Trenton Lane,93706
Port Washington,218,casey.gill@gmail.com,Casey,Gill,None,NY,636 Prospect Avenue,11050
Oceanside,219,darcie.morgan@aol.com,Darcie,Morgan,(442) 618-7068,NY,476 East Adams Ave.,11572
Smithtown,220,lucio.sherman@gmail.com,Lucio,Sherman,None,NY,842 Corona Ave.,11787
Mcallen,221,clementine.mooney@yahoo.com,Clementine,Mooney,None,TX,678 Charles Court,78501
East Northport,222,anya.contreras@msn.com,Anya,Contreras,None,NY,38 Old Fairground St.,11731
Patchogue,223,scarlet.yates@hotmail.com,Scarlet,Yates,None,NY,687 Shirley St.,11772
Lawndale,224,moses.pope@yahoo.com,Moses,Pope,None,CA,654 Theatre Street,90260
Plainview,225,barbera.riggs@aol.com,Barbera,Riggs,None,NY,12 Gartner Drive,11803
Richmond Hill,226,kiana.rivera@gmail.com,Kiana,Rivera,None,NY,9 Sheffield Dr.,11418
Patchogue,227,danielle.bond@msn.com,Danielle,Bond,None,NY,8589 Shub Farm Street,11772
Brentwood,228,whitney.estes@gmail.com,Whitney,Estes,(631) 315-4020,NY,454 Bear Hill Street,11717
Holbrook,229,molly.langley@aol.com,Molly,Langley,None,NY,63 Bridgeton Street,11741
Deer Park,230,chelsey.hardin@hotmail.com,Chelsey,Hardin,None,NY,13 Brickyard Street,11729
Sacramento,231,jenee.rasmussen@hotmail.com,Jenee,Rasmussen,(916) 219-1774,CA,19 George Lane,95820
Euless,232,freddie.mathis@hotmail.com,Freddie,Mathis,None,TX,31 Shady St.,76039
Santa Clara,233,mariana.strong@msn.com,Mariana,Strong,None,CA,972 Dunbar Dr.,95050
East Meadow,234,winfred.harris@msn.com,Winfred,Harris,None,NY,734 Glen Eagles St.,11554
Bay Shore,235,jeromy.elliott@gmail.com,Jeromy,Elliott,None,NY,7112 Laurel Street,11706
Selden,236,verona.o'neill@hotmail.com,Verona,O'neill,None,NY,8279 W. Sussex St.,11784
Banning,237,elvera.peck@yahoo.com,Elvera,Peck,None,CA,759 Lakewood Street,92220
Howard Beach,238,cindi.larson@msn.com,Cindi,Larson,None,NY,896 Golden Star Rd.,11414
Canyon Country,239,felice.guzman@hotmail.com,Felice,Guzman,None,CA,7 Creekside Lane,91387
Banning,240,le.deleon@msn.com,Le,Deleon,None,CA,58 Clark Court,92220
Queensbury,241,manie.sanchez@hotmail.com,Manie,Sanchez,None,NY,471 Illinois Ave.,12804
Canyon Country,242,rutha.howell@gmail.com,Rutha,Howell,None,CA,9247 Jones Street,91387
Ballston Spa,243,natosha.rowland@aol.com,Natosha,Rowland,None,NY,51 Elmwood St.,12020
San Pablo,244,jessika.bray@yahoo.com,Jessika,Bray,None,CA,37 East Greystone St.,94806
Palos Verdes Peninsula,245,delila.hamilton@yahoo.com,Delila,Hamilton,None,CA,7451 East James Ave.,90274
Niagara Falls,246,dionne.norris@yahoo.com,Dionne,Norris,None,NY,9993 Greenview Circle,14304
Palos Verdes Peninsula,247,muriel.juarez@gmail.com,Muriel,Juarez,None,CA,8073 Cemetery Drive,90274
Mcallen,248,cecelia.gill@aol.com,Cecelia,Gill,None,TX,372 Silver Spear Dr.,78501
Ossining,249,magda.eaton@aol.com,Magda,Eaton,None,NY,860 Middle River Street,10562
El Paso,250,ivonne.yang@gmail.com,Ivonne,Yang,(915) 181-1950,TX,7359 North Lake View St.,79930
Ballston Spa,251,kasie.rodriquez@aol.com,Kasie,Rodriquez,None,NY,7 North Beech St.,12020
Richmond Hill,252,eleni.gordon@hotmail.com,Eleni,Gordon,None,NY,583 W. San Carlos Street,11418
Atwater,253,maurice.norton@hotmail.com,Maurice,Norton,None,CA,32 Mayflower Dr.,95301
Lawndale,254,cristobal.hutchinson@gmail.com,Cristobal,Hutchinson,None,CA,58 Washington Avenue,90260
Massapequa Park,255,flossie.holder@msn.com,Flossie,Holder,None,NY,8459 W. Newport Court,11762
Merrick,256,erma.salinas@gmail.com,Erma,Salinas,None,NY,347 Sheffield St.,11566
Elmhurst,257,earl.stanley@gmail.com,Earl,Stanley,None,NY,569 Lake Lane,11373
Torrance,258,maribel.william@aol.com,Maribel,William,None,CA,65 Magnolia Ave.,90505
Pleasanton,259,johnathan.velazquez@hotmail.com,Johnathan,Velazquez,None,CA,9680 E. Somerset Street,94566
Canyon Country,260,rodrick.shelton@hotmail.com,Rodrick,Shelton,None,CA,7157 Addison Street,91387
Fullerton,261,ferne.kline@hotmail.com,Ferne,Kline,None,CA,303 Shady St.,92831
Buffalo,262,rubin.decker@gmail.com,Rubin,Decker,(716) 950-9835,NY,9875 Shady Ave.,14215
Oceanside,263,dortha.jarvis@yahoo.com,Dortha,Jarvis,(442) 919-8256,NY,76 Prince Drive,11572
Garden City,264,mariela.huffman@gmail.com,Mariela,Huffman,None,NY,531 Fieldstone Road,11530
Central Islip,265,mellisa.farley@yahoo.com,Mellisa,Farley,None,NY,21 West Princess St.,11722
Elmont,266,myung.hooper@gmail.com,Myung,Hooper,None,NY,951 Mill Road,11003
Apple Valley,267,angelina.lloyd@yahoo.com,Angelina,Lloyd,None,CA,9593 North Sherman Dr.,92307
Ballston Spa,268,trinity.riddle@aol.com,Trinity,Riddle,None,NY,23 Oakland Lane,12020
Bellmore,269,barton.crosby@msn.com,Barton,Crosby,None,NY,896 Edgewater St.,11710
Kingston,270,claudio.wise@hotmail.com,Claudio,Wise,None,NY,810 Oxford Ave.,12401
Longview,271,katheleen.marks@yahoo.com,Katheleen,Marks,None,TX,69 North Tower St.,75604
Jamaica,272,deja.chaney@hotmail.com,Deja,Chaney,None,NY,52 Woodside Ave.,11432
